GeneID	GSM3264576	GSM3264577	GSM3264578	GSM3264579	GSM3264580	GSM3264581	GSM3264582	GSM3264583	GSM3264584	GSM3264585	GSM3264586	GSM3264587
100287102	1	3	1	3	0	2	1	1	3	1	2	1
653635	735	745	698	704	737	989	987	771	857	788	927	917
102466751	44	42	45	52	54	83	66	37	51	44	58	60
107985730	0	0	0	0	1	0	0	0	1	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	1	0	0	0	0	1	0	0	0	0
100996442	20	25	26	20	27	33	33	19	25	31	30	31
729737	507	489	480	521	558	634	706	648	609	652	659	605
102725121	2	5	0	2	0	0	1	0	0	2	2	2
102723897	594	624	618	665	617	798	765	698	703	693	784	711
102465909	23	24	20	30	19	54	30	22	24	27	30	31
107985721	0	1	0	0	0	0	2	0	0	1	1	0
112268260	2	7	3	4	5	6	4	8	4	6	5	6
729759	0	1	0	1	0	0	0	0	0	0	0	0
100132287	201	211	190	212	240	260	297	270	267	285	296	248
105378947	1	0	1	0	1	2	1	1	0	0	1	2
101928626	0	0	0	0	0	0	0	0	0	0	0	0
113219467	282	173	224	273	430	352	143	658	620	110	468	359
81399	6	7	2	4	4	8	7	4	4	3	3	6
100133331	281	297	272	267	289	386	375	310	361	336	329	324
107984841	26	33	25	18	32	30	32	35	33	34	35	29
107984847	42	28	32	25	42	46	53	47	40	48	50	32
107984849	17	14	12	13	10	15	25	12	9	24	16	20
100288069	40	38	43	17	25	42	47	37	36	45	35	23
105378580	14	10	4	7	11	10	14	5	11	8	7	10
400728	7	10	11	8	7	5	7	7	5	3	9	7
79854	19	9	26	18	21	15	15	23	12	17	14	24
643837	134	132	130	159	141	197	151	136	128	144	170	122
107984850	1	0	0	0	0	0	0	1	2	1	1	0
284593	1	1	0	2	0	1	0	2	0	0	0	0
284600	2	2	2	1	1	1	3	1	2	2	0	3
100130417	10	4	2	0	1	0	1	4	3	1	0	1
107985728	15	25	16	1	2	0	3	5	12	0	0	1
148398	263	250	264	250	221	278	239	225	240	205	256	236
26155	2925	2811	2753	2466	2498	3248	2905	2441	2672	2484	2799	2739
339451	487	494	508	593	544	758	610	530	550	586	672	655
84069	200	214	224	337	308	431	326	260	306	377	400	427
84808	26	29	31	52	40	54	47	30	48	55	52	51
57801	747	750	761	1347	1227	1410	954	856	823	1356	1405	1562
9636	89	82	66	135	119	104	158	133	146	145	174	167
375790	25285	24480	23888	29582	31553	44579	42287	35080	34911	44410	46220	47194
100288175	47	48	42	69	69	91	56	50	58	100	114	96
112267874	101	108	102	167	182	222	141	106	105	137	176	155
105378948	190	195	147	215	249	325	200	167	159	261	273	255
401934	360	317	332	369	350	473	404	339	338	430	505	447
54991	453	483	458	472	551	688	560	538	565	517	567	612
254099	10	9	16	14	13	17	14	8	8	10	13	3
406984	188	178	171	226	236	302	272	184	161	190	220	245
406983	61	55	45	49	58	41	52	43	53	43	35	54
554210	249	281	252	288	325	403	323	249	233	249	282	309
100506376	5	5	5	2	13	10	8	4	7	5	1	6
254173	10	11	15	17	9	25	19	16	16	16	15	13
8784	6	8	8	16	10	10	22	10	18	20	27	42
7293	11	2	0	2	1	2	11	14	6	4	2	8
51150	4660	4553	4558	5292	5043	6425	5619	4890	5438	5639	6116	6142
126792	765	759	832	787	870	1071	910	770	822	882	990	933
388581	143	156	127	105	91	118	153	126	157	106	115	124
118424	1269	1275	1293	1297	1425	1666	1691	1474	1559	1601	1749	1700
101928895	22	15	14	29	25	26	20	17	27	29	35	17
6339	99	103	75	110	82	132	133	128	149	108	128	106
116983	3558	3575	3359	3806	3954	5271	4471	3802	4125	4162	4543	4653
102465434	1	1	1	2	5	2	0	2	1	2	1	4
109623456	18	12	11	12	12	15	25	13	15	18	18	15
126789	471	437	429	436	466	578	464	427	441	424	512	479
54973	2530	2552	2581	2466	2659	3458	2930	2512	2788	2607	2891	2920
102465435	38	43	32	32	30	54	33	27	30	36	31	37
80772	1583	1483	1593	1719	1550	2017	2004	1640	1983	1983	2038	2200
83756	34	32	29	43	26	47	43	32	21	28	40	32
1855	5729	5540	5803	6009	6123	8628	7381	6062	6806	6844	7595	7537
102466740	62	53	58	54	54	85	67	55	54	70	69	65
54587	500	509	475	378	388	488	584	469	511	332	404	376
54998	1862	1717	1845	1839	1833	2217	1949	1851	1955	1753	2093	1992
81669	2415	2462	2286	2619	2908	3469	3027	2731	2754	2917	3349	3218
148413	342	370	364	353	367	460	354	342	377	366	438	393
55052	827	801	797	740	793	900	828	780	853	719	886	821
107984868	2	0	2	1	1	3	1	3	1	0	0	2
441869	7	5	9	9	5	12	5	5	1	9	11	6
105378585	2	1	4	3	6	4	2	2	1	2	7	6
643965	1	3	0	4	2	6	4	1	5	1	1	1
102724312	8	9	8	8	8	7	5	4	7	5	5	5
107985729	9	7	8	6	6	6	6	7	4	10	5	9
64856	3594	3605	4072	3922	4272	5204	4071	3508	3581	4631	4865	4934
219293	26	31	31	35	29	37	20	30	20	24	27	25
83858	1286	1258	1260	1293	1312	1665	1547	1392	1497	1274	1517	1490
55210	1469	1490	1565	1508	1481	1954	1538	1404	1672	1470	1573	1545
339453	58	40	49	67	56	68	85	52	78	86	87	79
29101	1783	1773	1796	1911	1950	2216	1968	1817	1968	2030	2388	2244
643988	249	301	316	440	436	522	329	251	247	333	337	392
105378586	46	52	47	71	66	79	66	40	49	51	52	69
142678	2310	2366	2312	3019	2992	4091	3102	2541	2629	2940	3100	3226
8510	42	51	41	60	60	72	53	44	66	68	81	89
984	1432	1415	1369	1577	1555	1858	1697	1560	1705	1645	1860	1772
728661	1217	1156	996	1032	1244	1553	1538	1421	1416	1435	1573	1450
8511	13	18	16	29	33	35	33	22	30	52	50	65
728642	1278	1344	1211	1343	1279	1671	1537	1388	1525	1416	1657	1597
9906	765	730	617	632	759	927	940	812	815	852	927	847
112268218	301	274	282	288	315	355	366	350	330	329	392	388
65220	3292	3203	3104	3052	3187	4079	4163	3688	4089	3732	4121	4247
2782	6220	5769	5634	6210	7428	8348	8032	7241	7742	8706	9882	9338
105378949	23	16	30	17	22	41	25	26	25	30	33	33
163688	4	7	2	3	6	7	4	2	1	2	5	9
339456	68	63	76	81	68	105	59	57	49	67	51	61
85452	8	10	4	8	4	0	3	3	0	5	0	0
107984872	0	0	0	0	1	0	0	2	0	0	0	1
105378589	0	0	0	0	0	0	0	0	0	0	0	0
2563	3	2	1	5	2	1	1	1	0	1	1	2
105378590	1	0	0	0	0	0	1	1	2	0	0	0
105378591	0	0	0	0	0	0	0	0	0	1	0	1
5590	957	899	853	820	840	1086	1148	1032	1159	1051	1232	1229
100506504	49	34	35	43	41	47	63	37	39	64	43	61
199990	966	985	1026	1073	954	1179	1229	1088	1187	1082	1239	1199
112268219	95	94	91	103	90	112	111	119	106	96	125	108
105378593	5	8	5	4	14	7	8	8	16	5	11	11
6497	1734	1558	1622	1521	1780	2274	2177	1836	1969	2177	2242	2326
79906	143	133	141	96	115	162	153	135	120	127	124	144
100129534	52	61	61	46	45	60	66	48	58	50	40	49
11079	2371	2363	2163	2369	2434	2731	2843	2568	2739	2671	2879	2893
5192	620	644	658	685	715	885	714	660	721	782	786	753
9651	58	64	61	77	78	118	115	77	77	99	165	106
55229	579	586	560	599	676	867	729	611	652	647	748	767
388585	12	7	5	11	8	5	5	10	9	2	16	9
115110	1452	1534	1346	1272	1472	1833	3033	2597	2814	2481	2613	2637
8764	1500	1612	1428	1663	1674	2084	2822	2500	2672	2473	2755	2767
100996583	52	63	54	53	61	51	109	81	72	89	95	106
127281	4475	4516	4195	3846	4024	5466	6435	5658	6185	5635	6036	6332
79258	496	506	447	454	432	496	699	670	704	548	623	636
105378597	0	0	1	0	2	1	0	0	0	0	0	0
100287898	4	6	3	5	6	12	14	7	6	6	4	4
105378603	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	1	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0	0	0
105378598	0	0	0	0	1	0	0	0	0	1	1	0
107984904	0	0	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0	0	0
140625	1	4	3	2	0	0	0	0	0	1	0	0
440556	0	5	3	4	1	1	4	1	4	1	0	2
63976	16	11	14	13	13	8	10	14	19	20	20	12
100422968	0	0	0	0	0	0	0	0	0	0	0	0
105378606	0	0	0	0	0	0	0	0	0	0	0	0
107984909	0	0	0	0	0	1	0	0	0	0	1	0
105378605	0	0	0	0	1	0	1	0	0	0	0	0
105378604	107	123	109	101	116	150	424	340	394	218	277	215
27237	2178	2130	2104	2178	2060	2863	2305	2056	2215	2048	2456	2322
1953	1175	1240	1202	1339	1484	2191	1813	1374	1383	1693	1962	1871
105378608	1	0	0	0	0	0	0	0	0	0	3	0
693135	0	0	0	0	0	0	0	0	0	0	0	0
105378607	0	0	4	1	2	1	1	0	1	1	2	0
127262	1866	1852	1676	1698	1874	2205	2284	2003	2322	2158	2478	2457
49856	444	439	379	467	457	501	482	390	535	435	506	537
7161	125	86	114	86	85	135	126	100	105	95	109	103
105378610	0	1	0	0	0	1	1	1	0	0	0	0
105378609	0	0	0	0	0	0	0	0	0	0	0	0
57212	141	131	135	181	173	246	207	167	168	232	238	221
148870	2	1	3	2	0	0	0	0	0	0	0	0
388588	17	15	21	22	27	34	28	14	19	32	20	36
57470	1166	1165	1234	1220	1326	1645	1488	1312	1367	1454	1531	1538
9731	756	669	585	654	813	907	855	791	780	928	1038	1016
1677	219	208	197	232	215	247	207	178	202	196	205	185
107984910	4	2	1	0	4	3	2	6	4	2	7	8
339448	479	431	388	373	471	491	449	424	488	435	479	488
