GeneID,Symbol,log2FoldChange,padj,pvalue,regulation,baseMean
83998,REG4,-1.86950866068643,0.0,0.0,Down,18129.8458934518
3918,LAMC2,1.93003672870169,0.0,0.0,Up,9751.95192388571
972,CD74,2.01246897100217,0.0,0.0,Up,5179.32851583874
8878,SQSTM1,1.55302742613613,0.0,0.0,Up,15555.1135736679
10537,UBD,3.23472060118975,0.0,0.0,Up,7098.01500984157
4050,LTB,5.22974098966598,0.0,0.0,Up,5728.88913050417
7128,TNFAIP3,2.65976639937947,0.0,0.0,Up,1344.51452288616
4792,NFKBIA,2.15916023898377,0.0,0.0,Up,4279.26059466369
7127,TNFAIP2,2.95396865575508,0.0,0.0,Up,14244.958347697
100533107,RTEL1-TNFRSF6B,3.18411221474617,0.0,0.0,Up,2714.72008675203
8771,TNFRSF6B,4.70981346842137,0.0,0.0,Up,2233.40194907692
50506,DUOX2,1.34643022364594,7.1378182091101e-275,5.1968097627303197e-278,Up,13623.4544912312
3656,IRAK2,2.23629292867884,9.34406502776869e-260,7.37545033053349e-263,Up,1300.77819149749
4791,NFKB2,1.84159536430147,9.34406502776869e-260,7.93695609687912e-263,Up,3229.7580604937
3934,LCN2,1.45640734630769,3.7636103236479404e-259,3.42520051296682e-262,Up,24320.8752328746
3909,LAMA3,1.42424404689301,1.50239394861479e-255,1.4584579042492799e-258,Up,5145.46839026755
4316,MMP7,2.37808101035672,1.8747146429844601e-240,1.93363359608882e-243,Up,1109.5210359574
5971,RELB,1.98891074656008,2.38551754550775e-233,2.60522484037978e-236,Up,1804.87674561864
3106,HLA-B,1.23208465577264,3.90421172212894e-233,4.50066877323443e-236,Up,13412.2624389483
9235,IL32,1.66054632998283,3.81015931776017e-228,4.62341866006573e-231,Up,9471.1460973974
3561,IL2RG,1.73418520228855,5.05801935925568e-223,6.44450955857112e-226,Up,1936.89882533878
405753,DUOXA2,1.56680428586296,1.0230965922289498e-216,1.36561855533534e-219,Up,4433.60993004159
10318,TNIP1,1.29256916433071,7.49348150919537e-209,1.0456866564221201e-211,Up,5687.25984447208
3685,ITGAV,1.62019921373187,5.87628425584436e-207,8.556657088961571e-210,Up,4851.29068170162
3914,LAMB3,1.22365037699875,6.08663981338315e-202,9.2322530842482e-205,Up,5605.41094294229
1510,CTSE,1.07022176835787,6.18187195562358e-190,9.751769860830789e-193,Up,16198.6786371445
330,BIRC3,2.73791183859963,6.70255029429318e-176,1.0979787522504299e-178,Up,4625.18075924968
4794,NFKBIE,1.84373812415425,4.2046565081157495e-174,7.142967008084019e-177,Up,1147.25170329825
3576,CXCL8,1.99386713813098,5.98316580973586e-171,1.0527351564272502e-173,Up,1583.89788072418
130367,SGPP2,1.35636158996375,5.42922010207122e-170,9.88208973802552e-173,Up,3637.22473226423
101,ADAM8,2.04351590860341,7.35055059378288e-167,1.38252074024554e-169,Up,1143.5114096255
6385,SDC4,1.18508713368318,1.4844567061484799e-164,2.8820904378565304e-167,Up,4117.0246085786
6364,CCL20,1.94441176173148,1.11824697885222e-162,2.2389364338140603e-165,Up,1670.98215303176
7113,TMPRSS2,1.05333168992958,4.13009240779702e-162,8.519787760289931e-165,Up,6265.30328611091
5266,PI3,1.51412026728623,7.55350689255404e-162,1.6040088656679499e-164,Up,3797.09901787629
481,ATP1B1,1.09068511510168,2.4789416801425598e-158,5.414506764053651e-161,Up,7352.57997105163
602,BCL3,1.49139337028067,1.2306867224559e-155,2.76273563468439e-158,Up,1925.5637618985
5653,KLK6,-1.43753975921696,3.3573310306317804e-152,7.74047926004172e-155,Down,5543.3916771072
54972,TMEM132A,1.42331169920435,5.041494943161831e-151,1.1929274528777499e-153,Up,4756.44280663976
5724,PTAFR,2.14650794951866,1.80449058496624e-150,4.37930004845586e-153,Up,712.967532555042
5265,SERPINA1,2.22109368855924,1.94858804405348e-148,4.84723394043154e-151,Up,766.688262471334
6376,CX3CL1,1.60665279457185,2.83377781274013e-146,7.22113021084125e-149,Up,1825.81670053022
4088,SMAD3,1.12663091275107,7.47244569369422e-143,1.94949135316619e-145,Up,5857.03731702448
2919,CXCL1,1.82629436120803,7.26802179349454e-142,1.94025578760927e-144,Up,1480.73885855589
3134,HLA-F,1.1778936139058,1.5905871108174898e-138,4.34270234114714e-141,Up,2822.23907928999
124056,NOXO1,1.43770169993354,2.43999112893053e-135,6.80982841468295e-138,Up,1418.61927349932
3459,IFNGR1,1.23745920882986,3.72945535939106e-134,1.06348987920992e-136,Up,5040.76481703109
22904,SBNO2,1.14941222799113,8.02607672628255e-131,2.33740858428323e-133,Up,4454.47201933245
6892,TAPBP,1.31453503623771,8.83386647409991e-127,2.6262556560544598e-129,Up,4162.60323355726
9435,CHST2,1.82306914287964,3.61489038168744e-126,1.0966176379345499e-128,Up,1012.52168744441
2921,CXCL3,1.82162165578474,1.93878396156947e-121,5.99914949884985e-124,Up,888.127450875766
5582,PRKCG,2.31089416711289,2.7713071285534e-120,8.74335461016728e-123,Up,563.782832953986
3105,HLA-A,0.846612465790658,7.894765352608431e-120,2.5386637767761596e-122,Up,29157.2161729722
493,ATP2B4,1.36124268101271,9.48949247983802e-113,3.10904376842163e-115,Up,1291.34790165061
10626,TRIM16,1.02418199297696,6.75043354203326e-110,2.25260189789971e-112,Up,3018.23249690997
388115,CCDC9B,1.30297437602543,5.47295223524753e-109,1.85951538146985e-111,Up,1751.42908566031
7033,TFF3,-1.38401629930558,5.59858663536993e-109,1.93616938609444e-111,Down,3938.96818290941
388591,RNF207,1.45105776626228,4.73972483970145e-106,1.66790462748868e-108,Up,1363.73818108119
718,C3,4.49185133330676,1.00330510915327e-105,3.59149383812904e-108,Up,263.921435077477
6890,TAP1,1.23429510048822,1.25206729267647e-105,4.55794427621574e-108,Up,1801.63818319631
2877,GPX2,1.06103287078861,1.4766322894055e-105,5.46502667478072e-108,Up,17334.066404761
10223,GPA33,-0.901521046768446,1.0896840181303499e-103,4.09904193205204e-106,Down,4980.01693422225
27242,TNFRSF21,0.857832029127001,4.61264359165317e-103,1.7631145872718702e-105,Up,6737.06058501341
3604,TNFRSF9,2.45295816562005,6.57524623048702e-97,2.55318382933606e-99,Up,414.129742606843
55620,STAP2,1.04640330033048,6.77427426093045e-95,2.6715679344768803e-97,Up,3084.32798601401
90102,PHLDB2,1.54668006971059,1.78256849729922e-93,7.13806096479483e-96,Up,758.215920112299
3659,IRF1,1.24184741119126,4.28047175106365e-93,1.74002916709905e-95,Up,1433.85907837845
4070,TACSTD2,1.33994883291122,5.8081806051910695e-92,2.3962885642094e-94,Up,1730.21069826745
389602,LOC389602,1.37798646613216,3.20286830214963e-90,1.3408440289305002e-92,Up,1111.49421833763
1847,DUSP5,1.24286314847717,3.28268643515192e-88,1.39417577029871e-90,Up,1338.49913434479
50861,STMN3,2.09793505350719,8.96448818527789e-87,3.86165915031386e-89,Up,416.811733166698
3460,IFNGR2,1.15846552047434,1.90273695525272e-86,8.31191971715786e-89,Up,1460.3258007134
147166,TRIM16L,2.01887072542548,2.3302539711443e-86,1.03208676066942e-88,Up,473.756427705182
1298,COL9A2,2.12096340196352,4.96667621307244e-86,2.22991165979469e-88,Up,383.528842352305
6776,STAT5A,1.4034194361541,1.8885011400861602e-85,8.593470786704411e-88,Up,840.598971521954
1890,TYMP,1.56119817637803,1.70115234668134e-84,7.8441680832290995e-87,Up,717.42220120181
3673,ITGA2,0.95453779682534,2.70534624639867e-84,1.26387368628017e-86,Up,2349.03768292756
18,ABAT,1.0251683398533,3.85823256963584e-84,1.82588363324594e-86,Up,2013.34698849585
11182,SLC2A6,1.68127414189622,1.1672855650171099e-83,5.59492535107096e-86,Up,661.999938514205
3107,HLA-C,0.792241997257093,1.75558920005548e-83,8.52124353867481e-86,Up,10620.1064767363
1435,CSF1,2.57669045892369,8.86741091830251e-83,4.35784664714539e-85,Up,278.801739569526
65249,ZSWIM4,1.70733245267825,1.2852290012783e-81,6.39417413571295e-84,Up,712.297024321392
90527,DUOXA1,1.5102662941791,8.87601902517932e-81,4.46978266648394e-83,Up,659.083110057382
3855,KRT7,0.825093456236864,1.34537432745967e-80,6.856658385305919e-83,Up,6236.88246425163
3383,ICAM1,1.62372330958756,3.38810482608032e-78,1.7472934729816e-80,Up,577.980390117185
3486,IGFBP3,0.848063388443069,1.44167080054003e-77,7.52236918131551e-80,Up,3682.33622529531
3136,HLA-H,0.878723545448383,6.6423863148025396e-77,3.50617406496676e-79,Up,4077.31798570847
79751,SLC25A22,1.16465135743378,1.73179684805751e-76,9.24633676914581e-79,Up,1831.69105841485
8447,DOC2B,3.42174541795821,1.8566232257825302e-76,1.00254500118096e-78,Up,208.161004763308
2537,IFI6,1.59564920227734,4.9423333154642405e-74,2.6987622763729e-76,Up,723.62334611736
3897,L1CAM,1.48595412206239,1.15915761645789e-72,6.39991160645963e-75,Up,647.72894132388
100862671,TMEM265,1.48665305029583,1.54336198866533e-72,8.61481027528277e-75,Up,608.473665004801
51088,KLHL5,2.00507691353143,2.62448523629597e-72,1.4808708104327401e-74,Up,344.07097146998
9603,NFE2L3,1.03747560523479,1.15680005942546e-71,6.59745210447723e-74,Up,2559.99189290133
23654,PLXNB2,0.636497065119168,1.33478097573936e-71,7.69349549176311e-74,Up,25969.9780887614
8837,CFLAR,0.883691947122264,1.46389419042668e-70,8.52650420343169e-73,Up,2903.21390906912
3696,ITGB8,1.29097498898044,3.83278251250251e-70,2.25567227103958e-72,Up,972.440601779669
8795,TNFRSF10B,0.798336494846999,5.6969575510182e-70,3.38734279820279e-72,Up,3418.20722091671
23650,TRIM29,1.23132574357969,1.07812639446525e-69,6.4758229008652e-72,Up,957.364980241297
23308,ICOSLG,1.19283353401732,3.84355236644904e-69,2.33196964351962e-71,Up,1111.0872590406
54578,UGT1A6,0.933525392845073,5.86985100910434e-69,3.59698429753391e-71,Up,2756.50750106412
54020,SLC37A1,0.852807164964793,3.7809576479469704e-68,2.3398718607607698e-70,Up,2346.85704479052
10158,PDZK1IP1,1.13770688356942,4.6928155815680404e-68,2.93265383388853e-70,Up,1443.52387564132
5339,PLEC,0.614661528740772,5.71160623727944e-68,3.60397432761231e-70,Up,20811.8123412468
60485,SAV1,0.859358923959834,1.01088569132673e-67,6.43993432770939e-70,Up,2761.75375507034
8876,VNN1,1.6903012214817,1.50980557240428e-67,9.70994968297864e-70,Up,554.295611632499
91107,TRIM47,1.08843307599187,4.8020760080254e-67,3.11747441365561e-69,Up,1759.8576005622
10133,OPTN,0.869894574659423,1.50670572472162e-66,9.87284421004337e-69,Up,2202.07640517019
4071,TM4SF1,0.878000716388288,2.14435101953889e-66,1.41811831773898e-68,Up,4283.5629962055
84951,TNS4,-0.969311163067293,6.65241813252357e-66,4.43978882767621e-68,Down,4535.24268397455
3572,IL6ST,1.02607971197022,9.65583483914116e-66,6.50283744172229e-68,Up,1260.12501370133
4814,NINJ1,1.12889022192526,1.89923891090911e-65,1.2905882661195301e-67,Up,1139.30488881314
10019,SH2B3,1.28139364319095,5.97497021710256e-65,4.09641811996474e-67,Up,731.879592804772
25803,SPDEF,-1.73095647979441,9.50529013273421e-65,6.57446350644157e-67,Down,438.836105501272
6774,STAT3,0.874626938832941,4.04923267569698e-64,2.82527458867341e-66,Up,3881.84120214561
567,B2M,0.727515786372248,2.44376598918282e-63,1.73474469563396e-65,Up,35205.0273568888
102723996,LOC102723996,1.15134407254321,2.44376598918282e-63,1.7313000002576e-65,Up,1061.80695206728
9641,IKBKE,1.21691162605596,5.995289242419699e-63,4.29222261015365e-65,Up,890.497118640979
51149,MRNIP,1.29463403157517,7.2576099458162e-63,5.23999261953724e-65,Up,709.811476786691
11282,MGAT4B,0.655588220195793,1.01610858690192e-62,7.397951124149421e-65,Up,11271.9255875771
677,ZFP36L1,0.78384847255567,1.25805709272951e-62,9.23582746148952e-65,Up,2723.23095492838
7124,TNF,3.20493710178984,1.3861271603214899e-62,1.02601330881702e-64,Up,167.065481727628
23612,PHLDA3,0.912267764447766,1.1723016314299902e-61,8.74851963753725e-64,Up,2458.24782764702
150372,NFAM1,3.42309446531608,1.2599926243904901e-61,9.47937661839712e-64,Up,162.968032196333
5650,KLK7,-0.735275557423917,1.8248658060743002e-61,1.38398389612479e-63,Down,5451.05932474235
961,CD47,0.847744131610245,1.06334631778575e-60,8.12896711812917e-63,Up,2299.36603188462
11074,TRIM31,0.68568466305373,1.43611344903201e-60,1.10657934733082e-62,Up,7813.60172955767
195814,SDR16C5,1.41870563867888,1.91691820056314e-60,1.48868783929185e-62,Up,600.572514975023
4493,MT1E,-1.08042181493029,6.94356058096293e-60,5.43453048746643e-62,Down,1026.04341325349
3726,JUNB,0.803375468308382,6.99418262158577e-60,5.51658622015623e-62,Up,4940.4770107892
1824,DSC2,0.739604696136818,2.87035073224714e-59,2.2813732916173703e-61,Up,3582.40513179616
55107,ANO1,1.25732956807429,3.53151481225191e-59,2.82829726499971e-61,Up,752.412379341459
102725231,LOC102725231,3.25784991990572,7.75668015119266e-57,6.25918250278257e-59,Up,148.577002220242
3675,ITGA3,0.627827896514305,1.5826731394301998e-56,1.2867261296180502e-58,Up,13002.2077204549
1499,CTNNB1,0.596299640727097,5.35874443726171e-56,4.38921550194352e-58,Up,11745.8863135625
1889,ECE1,0.673937032686075,7.42107418641458e-56,6.12344429894663e-58,Up,5708.03910247227
162461,TMEM92,1.28231540190808,9.159422798858889e-56,7.61340203521216e-58,Up,749.895657967545
7187,TRAF3,0.884798714158023,9.56239514146803e-56,8.00637379882653e-58,Up,1610.15504835589
2879,GPX4,0.662442937542717,1.41461053990311e-55,1.19300367095336e-57,Up,6623.41708472621
6523,SLC5A1,1.02878417801668,2.7334304863280597e-55,2.32180723265337e-57,Up,1120.8225101813
650,BMP2,1.21465772151805,2.7553157391099497e-55,2.35711393771692e-57,Up,746.748333597343
6623,SNCG,1.32998616634347,3.02618697206989e-55,2.6071990658532e-57,Up,599.843185080809
131566,DCBLD2,0.97896894858859,4.1182572522999696e-55,3.57305416259493e-57,Up,1311.96479615696
51,ACOX1,0.915769834329209,7.08177803593272e-55,6.18721051555825e-57,Up,2162.51579160978
10562,OLFM4,0.608554732469764,1.02509104697619e-54,9.01821391891441e-57,Up,31802.3369506847
105376292,LOC105376292,3.64639353519621,2.1373136725630802e-54,1.89326414387944e-56,Up,139.755170545513
1520,CTSS,0.980793513980456,7.76159994668316e-54,6.92243169616809e-56,Up,1592.41835463904
10551,AGR2,-0.624962921933143,5.47053080575611e-53,4.91225918730679e-55,Down,7984.30487712528
10607,TBL3,0.776274483219111,1.13988345111171e-52,1.0304734511324201e-54,Up,2021.49910181255
4323,MMP14,0.695818467997087,2.63091726347952e-52,2.39435499042548e-54,Up,2914.75334950411
25841,ABTB2,0.940726158908259,9.41948798111653e-52,8.6296728864737e-54,Up,1354.72015392378
115110,TNFRSF14-AS1,0.802820712361651,2.76542434110006e-51,2.55032459560253e-53,Up,2086.92681196277
8870,IER3,0.822162751033467,3.62772648600156e-51,3.3675655403363603e-53,Up,2767.57190128603
55785,FGD6,1.22271759565861,1.01732166942786e-50,9.50537174444186e-53,Up,717.765158760809
25797,QPCT,1.15211067726118,1.07454480179802e-50,1.0105232634309801e-52,Up,853.000955434592
64129,TINAGL1,0.717689340897778,2.83759525481975e-50,2.6857472379073e-52,Up,11780.870254631
11151,CORO1A,-1.06622385978651,1.00612038295957e-49,9.58384298778382e-52,Down,886.827841822628
2113,ETS1,1.56886657249622,1.7305218397508e-49,1.65891548768734e-51,Up,370.685423942262
57458,TMCC3,0.892782218835363,4.36556851397123e-49,4.21141483874181e-51,Up,1243.50886726298
23089,PEG10,-1.08063909538278,4.53084069774646e-49,4.39834068462221e-51,Down,987.321554208493
2948,GSTM4,0.937635635416193,4.68213710159109e-49,4.57362015141467e-51,Up,1275.06998212519
338440,ANO9,0.759194557938226,4.87799317191913e-49,4.79453278637847e-51,Up,2840.68743330575
83874,TBC1D10A,0.973361589766079,6.05608595793042e-49,5.98921254181931e-51,Up,1055.54366475767
9966,TNFSF15,1.01393032917761,9.70293190246284e-49,9.65465860941576e-51,Up,1349.07541232687
8644,AKR1C3,0.871217343879248,1.1172728466981799e-48,1.1184930209028e-50,Up,6556.02348996394
10866,HCP5,1.29889723122121,5.77180021968629e-48,5.81312241516761e-50,Up,509.747532902189
25897,RNF19A,0.906449451674941,1.62147856179364e-47,1.64292512935043e-49,Up,1172.31320185382
7052,TGM2,1.51350384436549,2.54318550294579e-47,2.59225315189232e-49,Up,402.148717755091
928,CD9,0.478797364459188,8.81651071119684e-47,9.04010623827367e-49,Not significant,19419.2921995744
55349,CHDH,0.676974415935318,2.52917918587592e-46,2.6086667977120898e-48,Up,2673.27041507724
3993,LLGL2,0.568341761483384,2.5922764793607702e-46,2.68947505139359e-48,Up,11271.5693710381
84152,PPP1R1B,-0.761887760645987,3.2984320882241303e-46,3.44212061142186e-48,Down,5229.57312008925
25932,CLIC4,0.77291069996935,3.74226687147461e-46,3.9279951994000003e-48,Up,1967.08934368517
30001,ERO1A,0.653953047433161,8.73621964701479e-46,9.22280195716887e-48,Up,3897.4898918907
9915,ARNT2,1.26137495322769,2.41367152846614e-45,2.56275037908976e-47,Up,534.882736762057
5698,PSMB9,1.19741455444462,2.60662323209176e-45,2.7834345883275703e-47,Up,659.401672510542
9258,MFHAS1,0.749764246101364,3.18425466082403e-45,3.4195672549803e-47,Up,1901.60004566232
2355,FOSL2,0.696968310722479,3.48419112404216e-45,3.7628080334880804e-47,Up,2435.73515164678
