ID,Description,GeneRatio,p.adjust,Count,geneID
hsa04060,Cytokine-cytokine receptor interaction,58/712,3.02117183265227e-19,58,LTB/TNFRSF6B/IL32/IL2RG/CXCL8/CCL20/CX3CL1/CXCL1/IFNGR1/CXCL3/TNFRSF21/TNFRSF9/IFNGR2/CSF1/TNFRSF10B/IL6ST/TNF/BMP2/TNFSF15/CXCL16/TNFRSF11A/TNFSF10/TNFRSF14/CXCL2/CXCL11/IL23A/IFNAR2/IL4R/CD70/IL17RB/TNFRSF1B/IL17RE/TGFBR1/IL34/IL18R1/CD40/CSF2/RELT/IL27RA/IL1R2/IFNLR1/TNFSF9/CLCF1/CCL2/IL15RA/IL1RL2/IL22RA1/ACKR4/BMP6/IL6R/TNFRSF11B/CXCL6/PRLR/TNFRSF19/EDAR/IL7/IL15/IL1B
hsa04061,Viral protein interaction with cytokine and cytokine receptor,22/712,6.67991062210994e-10,22,IL2RG/CXCL8/CCL20/CX3CL1/CXCL1/CXCL3/CSF1/TNFRSF10B/IL6ST/TNF/TNFSF10/TNFRSF14/CXCL2/CXCL11/TNFRSF1B/IL34/IL18R1/CCL2/IL22RA1/ACKR4/IL6R/CXCL6
hsa04668,TNF signaling pathway,38/712,3.2921734850288e-09,38,TNFAIP3/NFKBIA/BIRC3/CCL20/BCL3/CX3CL1/CXCL1/CXCL3/IRF1/CSF1/ICAM1/CFLAR/TNF/JUNB/TRAF3/MMP14/NFKB1/CXCL2/CREB3L1/RHBDF2/EDN1/CREB3L2/FOS/TNFRSF1B/TRAF2/CEBPB/CYLD/IL18R1/CSF2/MAPK11/MAP3K8/CCL2/PIK3CD/CREB5/TRAF1/CXCL6/IL15/IL1B
hsa05321,Inflammatory bowel disease,19/712,8.72805711867992e-08,19,IL2RG/SMAD3/IFNGR1/IFNGR2/STAT3/TNF/NFKB1/IL23A/HLA-DRB1/IL4R/HLA-DRA/TLR4/TLR2/IL18R1/RORC/HLA-DRB5/NFATC1/TLR5/IL1B
hsa04612,Antigen processing and presentation,22/712,1.33865296841163e-07,22,CD74/HLA-B/HLA-F/TAPBP/HLA-A/TAP1/HLA-C/B2M/TNF/CTSS/TAP2/PSME2/HLA-DRB1/HLA-DRA/PSME1/RFX5/TAPBPL/IFI30/HSPA2/CIITA/HLA-DRB5/HSPA1L
hsa05146,Amoebiasis,28/712,1.94255863413992e-07,28,LAMC2/LAMA3/LAMB3/CXCL8/CXCL1/CXCL3/PRKCG/TNF/LAMA5/NFKB1/LAMC1/CXCL2/ITGAM/PRKACB/TLR4/TLR2/LAMA4/CSF2/SERPINB9/IL1R2/GNA15/COL1A1/PIK3CD/NOS2/LAMA1/CD14/IL1B/CD1D
hsa04064,NF-kappa B signaling pathway,30/712,2.3903449967678e-07,30,LTB/TNFAIP3/NFKBIA/NFKB2/RELB/BIRC3/CXCL8/CXCL1/CXCL3/ICAM1/CFLAR/TNF/TRAF3/NFKB1/TNFRSF11A/TICAM1/PLAU/CXCL2/GADD45A/RIGI/TRAF2/LYN/TLR4/CYLD/CD40/LCK/TRAF1/EDAR/CD14/IL1B
hsa04512,ECM-receptor interaction,23/712,5.08678293393655e-07,23,LAMC2/LAMA3/ITGAV/LAMB3/SDC4/COL9A2/ITGA2/ITGB8/CD47/ITGA3/LAMA5/HSPG2/LAMC1/ITGB6/THBS2/COL6A1/LAMA4/COL1A1/TNXB/SV2B/LAMA1/FREM1/ITGA9
hsa05168,Herpes simplex virus 1 infection,41/712,5.08678293393655e-07,41,CD74/NFKBIA/HLA-B/BIRC3/HLA-F/IFNGR1/TAPBP/HLA-A/C3/TAP1/IFNGR2/HLA-C/B2M/IKBKE/TNF/TRAF3/TAP2/OAS3/NFKB1/TICAM1/TNFRSF14/PML/HLA-DRB1/IFNAR2/HLA-DRA/BID/JAK1/RIGI/OAS1/TAPBPL/CGAS/TRAF2/EIF4EBP1/TLR2/IFIH1/CCL2/PIK3CD/C5/HLA-DRB5/TLR3/IL1B
hsa00830,Retinol metabolism,19/712,6.36562121305969e-07,19,UGT1A6/SDR16C5/CYP2B6/DHRS3/UGT1A5/UGT1A7/UGT1A4/UGT1A3/UGT1A9/RPE65/RDH5/UGT2A3/ADH1C/UGT2B17/CYP1A1/CYP3A4/BCO1/CYP26B1/CYP2W1
hsa04659,Th17 cell differentiation,27/712,7.13477224611156e-07,27,NFKBIA/IL2RG/NFKBIE/SMAD3/IFNGR1/IFNGR2/STAT5A/IL6ST/STAT3/NFKB1/IL23A/HLA-DRB1/IL4R/HLA-DRA/NFKBIB/JAK1/FOS/TGFBR1/MAPK11/IL27RA/NFATC2/RORC/HLA-DRB5/IL6R/LCK/NFATC1/IL1B
hsa05323,Rheumatoid arthritis,23/712,8.04869650017628e-07,23,LTB/CXCL8/CCL20/CXCL1/CXCL3/CSF1/ICAM1/TNF/TNFRSF11A/CXCL2/IL23A/HLA-DRB1/HLA-DRA/VEGFA/FOS/TLR4/TLR2/CSF2/CCL2/HLA-DRB5/CXCL6/IL15/IL1B
hsa04514,Cell adhesion molecule (CAM) interaction,27/712,1.0679256397065e-06,27,HLA-B/ITGAV/SDC4/HLA-F/HLA-A/HLA-C/ICAM1/L1CAM/ITGB8/ICOSLG/LOC102723996/ICAM2/HLA-DRB1/HLA-DRA/ITGAM/ALCAM/CLDN1/CD40/CLDN10/ESAM/TIGIT/HLA-DRB5/SLITRK6/NRCAM/CNTNAP1/LRRC4/ITGA9
hsa04657,IL-17 signaling pathway,25/712,1.0679256397065e-06,25,TNFAIP3/NFKBIA/LCN2/CXCL8/CCL20/CXCL1/CXCL3/IKBKE/TNF/TRAF3/NFKB1/CXCL2/MUC5AC/MUC5B/FOS/IL17RB/TRAF2/IL17RE/CEBPB/CSF2/MAPK11/MAPK15/CCL2/CXCL6/IL1B
hsa04640,Hematopoietic cell lineage,18/712,1.0679256397065e-06,18,ITGA2/CSF1/TNF/ITGA3/HLA-DRB1/IL4R/HLA-DRA/ITGAM/TFRC/ANPEP/CSF2/IL1R2/HLA-DRB5/IL6R/IL7/CD14/IL1B/CD1D
hsa04610,Complement and coagulation cascades,18/712,2.69007763173285e-06,18,SERPINA1/C3/PLAU/F3/CLU/ITGAM/CFB/TFPI/ADTRP/C4BPB/BDKRB2/F2R/PROCR/C5/SERPINB2/PROS1/CFD/SERPINA5
hsa05417,Lipid and atherosclerosis,44/712,2.93274498217799e-06,44,NFKBIA/CXCL8/CXCL1/CXCL3/ICAM1/TNFRSF10B/STAT3/IKBKE/TNF/TRAF3/ERO1A/NFKB1/TNFSF10/TICAM1/CXCL2/RAP1B/NOX1/CYP2B6/BID/FOS/TANK/TRAF2/LYN/TLR4/ABCG1/TLR2/ERN1/HSPA2/CD40/MAPK11/NFATC2/CCL2/CYP1A1/PIK3CD/VAV1/APOA1/NFATC1/CASP1/CD14/HSPA1L/NCF2/IL1B/TLR6/CAMK2B
hsa04820,Cytoskeleton in muscle cells,39/712,6.80390223075685e-06,39,ITGAV/SDC4/ATP1B1/COL9A2/ITGA2/ITGB8/PLEC/DSC2/ITGA3/HSPG2/TPM1/LMNB1/ITGB6/OBSCN/THBS2/COL6A1/FMNL2/SYNE3/PDLIM4/NID2/MYOM3/TPM2/COL1A1/TMOD2/SSPN/TNNT2/TMOD1/SPTBN5/SYNE1/CSRP2/DMD/FBN3/LAMA1/COL5A1/COL11A2/COL5A3/ATP1A3/ITGA9/NEB
hsa00980,Metabolism of xenobiotics by cytochrome P450,20/712,6.80390223075685e-06,20,UGT1A6/GSTM4/AKR7A3/AKR1C1/CYP2B6/UGT1A5/UGT1A7/UGT1A4/UGT1A3/UGT1A9/ALDH3A1/UGT2A3/ADH1C/UGT2B17/CYP1A1/ALDH3B2/GSTM2/CYP3A4/CBR3/GSTA1
hsa05140,Leishmaniasis,20/712,6.80390223075685e-06,20,NFKBIA/IFNGR1/C3/IFNGR2/TNF/NFKB1/HLA-DRB1/HLA-DRA/NFKBIB/ITGAM/JAK1/FOS/TLR4/TLR2/MAPK11/HLA-DRB5/EEF1A2/NOS2/NCF2/IL1B
