sample,group,gene,vst_expression
GSM3264576,Ctrl,MYLK,10.1846247744081
GSM3264576,Ctrl,TJP1,11.0184650318754
GSM3264576,Ctrl,OCLN,10.4164199710027
GSM3264576,Ctrl,CLDN1,10.6070026572603
GSM3264576,Ctrl,CLDN2,13.4874242821808
GSM3264577,Ctrl,MYLK,10.2246033972325
GSM3264577,Ctrl,TJP1,10.8818315507751
GSM3264577,Ctrl,OCLN,10.4102962190249
GSM3264577,Ctrl,CLDN1,10.6853989173351
GSM3264577,Ctrl,CLDN2,13.481251382232
GSM3264578,Ctrl,MYLK,10.1285947798642
GSM3264578,Ctrl,TJP1,10.9435044041942
GSM3264578,Ctrl,OCLN,10.5185133042709
GSM3264578,Ctrl,CLDN1,10.6126575614859
GSM3264578,Ctrl,CLDN2,13.5831363640057
GSM3264582,TNF,MYLK,10.2726033464342
GSM3264582,TNF,TJP1,11.1631807517487
GSM3264582,TNF,OCLN,10.4125369768613
GSM3264582,TNF,CLDN1,10.9654232935801
GSM3264582,TNF,CLDN2,13.145644487076
GSM3264583,TNF,MYLK,10.2357388736135
GSM3264583,TNF,TJP1,11.1114874016729
GSM3264583,TNF,OCLN,10.4280447532049
GSM3264583,TNF,CLDN1,10.9458692112642
GSM3264583,TNF,CLDN2,13.171355418542
GSM3264584,TNF,MYLK,10.2437890589328
GSM3264584,TNF,TJP1,11.1102423946372
GSM3264584,TNF,OCLN,10.4552483584623
GSM3264584,TNF,CLDN1,10.9480706537618
GSM3264584,TNF,CLDN2,13.2613912864969
